"loc"	"lambda"	"rho"
1	1.0354242198843	1.61561961723384
2	1.0009857920726	1.67104053914891
3	0.937670059283748	1.59737956481386
4	0.840706804595923	1.48036361050634
5	0.528404515360924	0.978842405035123
6	0.588700484517941	0.894340643047475
7	0.322897590102723	0.558057864184109
8	0.325347633041917	0.526311137313392
9	0.283662341274812	0.473009245076292
10	0.278709837034309	0.442670435476273
11	1.09648534086856	1.57755792983232
12	1.14314592390649	1.62191036965727
13	0.98223007884113	1.49052187921284
14	0.828340529682254	1.28756120159742
15	0.574418547555546	0.952447988541778
16	0.483379322727529	0.722974117581522
17	0.42889041687446	0.595594264156821
18	0.364311701188564	0.511848619566673
19	0.320773094602343	0.463090667459766
20	0.328913558669346	0.467644710056036
21	1.61915710408037	1.74753011318775
22	1.32038796259045	1.60241720492496
23	1.14094836551912	1.47244835167601
24	0.976323023409721	1.30452406820726
25	0.754649730692472	0.964885175817382
26	0.544673420927895	0.683401733590724
27	0.478839618886851	0.57830291600394
28	0.904054891982389	0.767564634813314
29	1.01388837457941	0.779576412336821
30	0.45399813126582	0.484675176627454
31	1.96357582073276	1.71077631991512
32	1.52470660191156	1.55063730576265
33	1.60788665771274	1.58281548634699
34	1.42403376243685	1.41800108995506
35	0.886548707809667	0.933354775070923
36	0.799729610977397	0.782112948222281
37	0.560180405235528	0.572846331501435
38	0.544677789789448	0.508737154879075
39	0.556105758854063	0.496588715064549
40	0.58147401573792	0.532307282048976
41	1.98085886561837	1.58110347793522
42	1.91994836064667	1.57609393572134
43	1.58021292197682	1.40365238244546
44	1.57984500263133	1.35860817980053
45	1.17943296325759	1.04123404418953
46	0.975905756464066	0.817000272399578
47	0.766280819381296	0.604543225367929
48	0.723476479746624	0.549874463764509
49	0.667593409447042	0.507637672788297
50	0.749848901844894	0.557941260992535
51	2.46581298474142	1.61974414659068
52	1.86929484753377	1.47647324228141
53	1.74182250423377	1.40485377363577
54	1.56739722088733	1.29068130718944
55	1.4715003689697	1.04496967302412
56	1.16742688699395	0.809075543833145
57	0.970627563999003	0.643832494354465
58	0.921674459022677	0.586971855056069
59	1.12547680550596	0.626931718751946
60	0.840126436849382	0.522401157521338
61	2.32144663685972	1.54340971887072
62	1.91618940039765	1.44276731571691
63	1.88507868960719	1.38060921170546
64	1.78333115814687	1.26447232956672
65	2.24249291558499	1.13806419094262
66	1.51320654391173	0.85221014464862
67	1.09652301239794	0.620954561945732
68	1.04819994302234	0.565903411256243
69	0.939361562521975	0.510724956630387
70	0.848618659926768	0.47912028012348
71	2.54239346166012	1.49544484679797
72	2.36409762643352	1.43980035048022
73	2.10909691570186	1.34960992010788
74	2.02084121685068	1.23250981267893
75	2.123545107095	1.05142810988304
76	1.49941726709142	0.765015337321546
77	1.23442599952065	0.596679760817995
78	1.16141145268883	0.54843392440202
79	1.15912618767456	0.542890395843062
80	1.08807268819311	0.515784748465302
81	4.01429208420304	1.52932331396711
82	2.98434119341075	1.44938276219481
83	2.50167796767408	1.35463694115798
84	1.72398280553693	1.12197760145754
85	2.10656320804094	0.998536810186431
86	1.65681524874224	0.758030904024002
87	1.22742718066322	0.560292450988655
88	1.2784636110859	0.533090234689506
89	1.24349587537281	0.516601282027891
90	1.26762484696821	0.515797790967904
91	10.015357687737	1.56356506404772
92	3.52069915990933	1.49545115690379
93	2.69770050582379	1.38913018784663
94	1.95550329306732	1.11685251212467
95	1.91080025666847	0.914861619570948
96	1.65791831771387	0.735279752734346
97	1.45015559621375	0.595396266316693
98	1.24732298137672	0.50041578969428
99	1.34625432930641	0.515686267338047
100	1.27456220746337	0.506751723638075
1	0.791829834544285	1.48479591013415
2	0.770315442348846	1.46266394259369
3	0.731015943342606	1.4039137056762
4	0.682478373331734	1.30474286501401
5	0.581378199635156	1.01756643374821
6	0.46799911229447	0.766683693400184
7	0.386771501055716	0.625212391041986
8	0.362385306847717	0.545875329976636
9	0.381414864443547	0.546460771129177
10	0.360358439297399	0.507068126239969
11	1.0128257539196	1.56208458803794
12	0.881303444964862	1.48057200054527
13	0.767610359267023	1.30343565597972
14	0.732059382903974	1.21976572139563
15	0.682042535783176	1.06113256880928
16	0.558278692432632	0.779633075875933
17	0.472209380051296	0.624469146390342
18	0.471502649004102	0.597086453100687
19	0.433171189621023	0.534961839767889
20	0.405415053449347	0.506732941811314
21	1.2289147589559	1.52563272094564
22	1.06130838975724	1.44850114849479
23	1.06837259917857	1.45074131619621
24	0.707436706019911	1.12118014650837
25	0.7649309585661	1.00743086745224
26	0.646893083076417	0.777703993589319
27	0.524026502994673	0.605952447424957
28	0.482499337152506	0.52508806756494
29	0.552661896447302	0.54123902524052
30	0.528727028419686	0.52366716203487
31	1.41113514504859	1.5352736807777
32	1.42260044535258	1.52897894829491
33	1.16925853821849	1.36844912601262
34	0.93926080441139	1.18970832387228
35	0.987446199673785	1.07418001325998
36	0.798785829485051	0.800744892409031
37	0.653929837120308	0.622737655577349
38	0.595765648436773	0.522689051113757
39	0.68665334389653	0.559978974951557
40	0.573360430559745	0.493238791071277
41	1.38918229061209	1.36540426660395
42	1.38083874950831	1.32932938440299
43	1.41045117905111	1.31849053323447
44	1.45593905707738	1.32548989287907
45	1.1043937328528	1.00577833008604
46	0.955920146896531	0.783617612544666
47	0.80437277638522	0.631598249702324
48	0.732776728718935	0.528740336239522
49	0.766510993889427	0.547434814968946
50	0.739048276409891	0.540868606603714
51	2.55227174069984	1.61032825678314
52	1.8977782153672	1.44143087216931
53	2.00750013428521	1.41977447981458
54	1.62954252421303	1.25018527460578
55	1.29322956399781	1.02928885421637
56	0.972561047173625	0.726857136498673
57	0.842312791671288	0.587867408459505
58	0.779925310224889	0.52343990679279
59	0.788066441857132	0.519977589350296
60	0.838331507148632	0.529062395950729
61	3.11148423925972	1.58959464117155
62	2.81681437879242	1.51750459751535
63	1.99820094478543	1.39217238834299
64	1.75888132185946	1.24540965338086
65	1.34577688747553	0.95635170312797
66	1.08906531870622	0.723775862451252
67	0.968423305818109	0.579631614021979
68	0.981584262404924	0.551441489378527
69	0.876962631297825	0.503173721610612
70	0.815041404308329	0.459657202419792
71	3.73950307930324	1.54775988284081
72	3.33588327142564	1.50513086802811
73	3.04467022380136	1.46127856796044
74	2.04654978904995	1.24877124219535
75	1.77185335005289	1.01803180954804
76	1.18573555454486	0.703394630604906
77	1.09600859970651	0.583030129761488
78	0.999115430644754	0.498948356340422
79	0.992021599819038	0.477677846702497
80	0.954000754390031	0.47170908024558
81	3.64578382312248	1.54720701454936
82	7.97546815966197	1.56968528902358
83	3.30322008382982	1.43587278937036
84	2.18774668438224	1.22205490625894
85	1.79336324485295	0.959945692125925
86	1.21938059333596	0.662635312229478
87	1.14073275538484	0.539791421896798
88	1.17701573441113	0.503275057519037
89	1.04958304729718	0.467860636138574
90	1.21716419910219	0.506198510813406
91	3.40713666761381	1.50585322879091
92	3.21062290506218	1.47784192025464
93	3.06411737672169	1.38827305558571
94	2.11452048944902	1.1646468284833
95	1.70628081108173	0.872558050176127
96	1.2888499217382	0.648607210893816
97	1.39661775024035	0.576984203381616
98	1.32613952563601	0.523051048892276
99	1.37976322281991	0.540874941267113
100	1.17531218275564	0.5019549123273
1	0.864664633056852	1.47612222210952
2	0.83639634841327	1.50765435544548
3	0.852847492588214	1.52698892722712
4	0.721192514463476	1.38058530559027
5	0.486520531198414	0.969670741245232
6	0.346634269856716	0.68011455605508
7	0.357623667890411	0.618471503222508
8	0.336697710545877	0.51649692705479
9	0.346914769463025	0.511592569827092
10	0.393351067146526	0.534292473819957
11	0.953165806293345	1.47646267469445
12	0.999889760179762	1.55081649552488
13	0.912233284279012	1.45492269006079
14	0.820543540888523	1.34560594803755
15	0.611507020683209	1.02571791098495
16	0.486136601210347	0.757673288310121
17	0.626188020177149	0.743139462653028
18	0.404695784360123	0.51847251177564
19	0.40533782852208	0.498588856620879
20	0.359937677689578	0.468990015432443
21	1.16139358987906	1.50307724979875
22	1.17513822676034	1.51330284610755
23	1.15650234834575	1.49347615989865
24	0.874507374094912	1.25848253654945
25	0.653593826041169	0.922506957398451
26	0.573309376328014	0.720882565316487
