"lon"	"lat"	"sd_chi_u95_h20"	"sd_chi_u95_h40"	"sd_chi_u95_h80"	"sd_chi_u95_h160"	"sd_chi_u98_h20"	"sd_chi_u98_h40"	"sd_chi_u98_h80"	"sd_chi_u98_h160"
-97.371214	26.278181	0.062576347772072	0.058806015367641	0.0574085509534406	0.0756005126701724	0.0612278459572113	0.0634853176368528	0.073726041456047	0.0958985296076637
-99.174783	26.829066	0.0645863626974827	0.0553406145594207	0.0440623797505193	0.0552190521302661	0.0596889212395672	0.0535204715795401	0.0545087400557399	0.0741615440185697
-98.570952	26.828523	0.0554012900966508	0.0568466061320417	0.0607307348903157	0.0753350878071719	0.0592835374194633	0.0668392658435825	0.0781937031923953	0.0929490584588934
-97.967178	26.825404	0.0246203877503993	0.0321518768840426	0.0403463016986301	0.0494707693015598	0.0332378680827666	0.0438693542237033	0.0550942205431813	0.0643858944069765
-97.363543	26.819711	0.0221691014754202	0.0288416794460048	0.036186054712422	0.044804004502524	0.0298607436733203	0.039341796877044	0.0494092969898082	0.0581852631221378
-80.832815	25.660757	0.0196553033662252	0.0253958083181178	0.0317579501817687	0.0397307339930025	0.0262674852772147	0.0347145955840325	0.04401314744663	0.0526651380418719
-99.175626	27.370771	0.0592958568586434	0.0523330481833357	0.0417240657421154	0.0466587081321751	0.0570754491199892	0.0502093112995116	0.0425504397665992	0.0509362453578545
-97.962197	27.367024	0.0143501139977878	0.0174006505799293	0.0185150804353068	0.0174314047389166	0.0159233687070682	0.0191375723267338	0.0206142980878157	0.0209728878844228
-97.355653	27.361197	0.0296739489645817	0.0358497161249713	0.0417139695983972	0.0504894106125188	0.0358583300784952	0.0453438154751781	0.0551080229017167	0.0644141784576219
-81.322177	26.249125	0.0148219010261635	0.0198005656336477	0.0253390255377561	0.0308905209989273	0.0208989363508067	0.0277469334752132	0.0348451246520737	0.0401833755086188
-80.75097	26.175306	0.0176271064182074	0.0235957723110092	0.029710558519432	0.0337520031355238	0.0239814877963246	0.0313409960887325	0.0378382300249709	0.0400454367240405
-80.182007	26.099425	0.0179462239106746	0.0233963731762284	0.0297747584985745	0.0377470681845297	0.0245972873376556	0.0325314636151467	0.0412267101321716	0.0492288570709927
-99.786208	27.910304	0.0196036943134399	0.0246074385170242	0.0278521949043929	0.0277625740720825	0.0239350901411665	0.0294690954647875	0.0324416969342557	0.0314107944182187
-99.176493	27.912435	0.0129418437759795	0.0167563774318005	0.0199889475096806	0.0209474891544396	0.0166028599439842	0.0209942983503785	0.0240080991192199	0.0235309797301484
-98.566754	27.911866	0.0164204373310281	0.0214972631970496	0.0258973419997096	0.0273526013063083	0.0222004398394738	0.0280103285452331	0.0316379353254863	0.0301957169368035
-97.957074	27.9086	0.0681590421717918	0.0704272760000683	0.0664102628344728	0.060853717012195	0.0704354295925051	0.0729340442745975	0.0704937283281113	0.0709956019635964
-97.347539	27.902638	0.054437962547865	0.0509612127140232	0.0479556645690974	0.0486666662958035	0.0554041744060604	0.053024982338054	0.0518353278712392	0.054704027556273
-81.816086	26.838421	0.0180458869097696	0.0216722711049927	0.0256943747616335	0.0342682880905116	0.0218273383717931	0.0281741813258194	0.0359172628507957	0.0457076687245577
-81.240369	26.765068	0.0153301756926231	0.0190479437722857	0.0237480912957151	0.0333683320528297	0.0194266347007971	0.0260345461725087	0.0347737318565238	0.0461245164794944
-80.666882	26.689573	0.0166062379924585	0.0194459205140231	0.0213855205870416	0.0269179846624841	0.0182431037806228	0.0229783970820835	0.0285686749787628	0.0366746780764372
-80.095681	26.611973	0.0372730042542662	0.0462522635967193	0.0508271383945088	0.0460273488811016	0.0444096526974578	0.0533384339135445	0.0555261310149441	0.0470846891725183
-99.790179	28.451877	0.0563084911975217	0.059453705676431	0.0594364290118017	0.0591950842813962	0.0634011288685425	0.0653507225614044	0.0647319739038125	0.0644115459310559
-99.177385	28.454055	0.0433262538999329	0.0430065265208253	0.0286748515948972	0.0264572053763481	0.0336982654698588	0.0303438979451833	0.0232625526897771	0.0441643566650005
-98.564565	28.453474	0.0939583481454039	0.0759557201049448	0.03366923227148	0.0455765585441245	0.0789547553980258	0.0561981861177714	0.0281269540631956	0.0669072810129415
-97.951807	28.450134	0.0825930298129767	0.0778146386040455	0.0657424295697805	0.0605983432273098	0.0824649571004714	0.0769385165584569	0.0679421360066473	0.0707211797293603
-97.339196	28.444035	0.0121629568293983	0.0151103291196059	0.0176429321541199	0.0216396814380262	0.0137476004023635	0.0180745840757138	0.0231626933424839	0.0294417207026174
-81.734429	27.355732	0.0125977320356209	0.0153534570398797	0.01759176611089	0.0212109353156957	0.0136684288154715	0.0175135567010988	0.0218846724725455	0.027840044943432
-81.156332	27.280735	0.00871370051807563	0.0112490198129562	0.0147922948282316	0.0219730494828146	0.0121474413933079	0.0169646587233514	0.0238606105597606	0.0332653552368505
-80.580508	27.203551	0.0370527342786608	0.034725785819623	0.0407067929504978	0.0549062114038371	0.0387191168505849	0.0425497512974557	0.0545902619888259	0.0697093384348966
-100.410109	28.988356	0.011054121579704	0.0146438480621871	0.0179407712255342	0.0190916667927334	0.013695187789869	0.0176757059535586	0.0206796525463473	0.0203347777510434
-96.715086	28.976334	0.0133656040622795	0.0178638981747827	0.0227548931634444	0.027068095556291	0.0188668006728518	0.0248528580369554	0.0307186024105265	0.0343321410308752
-96.099879	28.964469	0.0119392303388264	0.0159516877483441	0.0201253458613037	0.0233318111380619	0.016240951582489	0.0213254419717143	0.0260392429412496	0.028322172822374
-95.485086	28.949798	0.0526722392943461	0.0597761515433922	0.0591374697730699	0.0540044472698105	0.0643576427277699	0.070042504355998	0.0666095415167698	0.0606633296274922
-82.233353	27.947159	0.0357730233360565	0.0404331334227029	0.0416855133662943	0.0413405024770083	0.0423532808829284	0.0462878782455297	0.0465719623593548	0.0458415402138208
-81.65056	27.872772	0.109829895821579	0.0971629302501973	0.0676271871058412	0.0628088768752993	0.103560369868588	0.0884247154028557	0.0661395293230993	0.0775778779179565
-81.070023	27.796118	0.0125344959339556	0.0148440308290418	0.0160378226560949	0.0182234326189195	0.0134822853959838	0.0167063497325109	0.0199331458779424	0.024534755640896
-80.491804	27.717231	NA	NA	NA	NA	NA	NA	NA	NA
-96.084582	29.505308	0.0091939815262387	0.0115051319517347	0.0136108658884963	0.0173167117260375	0.0106298849538758	0.0142493128672975	0.0190456091755869	0.025989867843897
-95.466561	29.49031	0.0134921987426448	0.01726432270075	0.0200187624984351	0.019041274780754	0.015311633542604	0.0190176831098395	0.0207847329706093	0.0176728021531849
-89.328964	29.185024	NA	NA	NA	NA	NA	NA	NA	NA
-82.149772	28.465547	0.0200106636296827	0.0228192115605139	0.027966377218548	0.0365737213660545	0.0232786187216135	0.0290595079380387	0.0362225699813028	0.0430037593186807
-81.564433	28.389536	0.0100918419147753	0.0130817065566354	0.0153595471167615	0.0151053386347687	0.012285416795401	0.0154118393103124	0.0170579456621042	0.0151728126556768
-80.981397	28.311209	0.0366166771211501	0.0389977564351942	0.0388264680160859	0.0384563957033907	0.0430364095679471	0.0443487403912401	0.0434529597586655	0.0429407874549204
-104.152211	29.97777	0.0144360112870245	0.0190893169943588	0.0253527072501196	0.0348728738830971	0.021405440778222	0.0289460529885668	0.0381584977075772	0.0480921402602638
-103.532409	30.000617	0.0117002551096609	0.0155489022679024	0.0197775123150793	0.0238514958080196	0.0165806887259993	0.0218704929294028	0.0272498579214242	0.0311451063760555
-102.911941	30.020557	0.0133126944022277	0.0174293633537939	0.0213708653366267	0.0238971337958268	0.0174592782134822	0.0226347239529198	0.0272856699126649	0.0296561561518546
-102.290896	30.037579	0.0151150034627938	0.0199668173009959	0.0244765027828682	0.0263753513272006	0.0193344548895962	0.0249304601378888	0.0292739124429127	0.0293595135376363
-96.068861	30.046095	NA	NA	NA	NA	NA	NA	NA	NA
-92.968319	29.940325	NA	NA	NA	NA	NA	NA	NA	NA
-92.350503	29.910491	NA	NA	NA	NA	NA	NA	NA	NA
-91.733658	29.877797	NA	NA	NA	NA	NA	NA	NA	NA
-91.117872	29.84226	NA	NA	NA	NA	NA	NA	NA	NA
