"LocID"	"lon"	"lat"	"param1"	"param2"
1	-98.572964	26.286789	2.54385986996988	190.729550636977
2	-97.972021	26.283743	2.55150279049849	188.075287230286
3	-97.371214	26.278181	2.28622048283432	170.496188952677
4	-99.174783	26.829066	2.74758435456384	194.315433791554
5	-98.570952	26.828523	2.78560312430146	182.947177725825
6	-97.967178	26.825404	2.46615373831925	185.173206489894
7	-97.363543	26.819711	0.85642006051015	16.7729017714086
8	-80.832815	25.660757	2.57267033556818	139.587976194228
9	-99.175626	27.370771	2.46699944802333	169.905713283191
10	-98.568882	27.370216	2.75205232373271	199.251339348539
11	-97.962197	27.367024	3.19648917241119	216.390399590591
12	-97.355653	27.361197	2.2777744121031	177.345475488209
13	-81.322177	26.249125	2.55231240445278	137.558117356727
14	-80.75097	26.175306	3.10979216216161	165.927240404084
15	-80.182007	26.099425	2.70953299888315	143.816743290774
16	-99.786208	27.910304	1.37642330954623	59.8798203446258
17	-99.176493	27.912435	1.21172193025229	57.4775361854499
18	-98.566754	27.911866	2.07842437081399	155.265029518698
19	-97.957074	27.9086	2.23786711087973	177.994003787729
20	-97.347539	27.902638	2.2498966566275	166.60535485527
21	-81.816086	26.838421	2.59824812625102	166.765930651719
22	-81.240369	26.765068	1.15568730499887	19.4263542746971
23	-80.666882	26.689573	1.41025289280188	60.0024353380109
24	-80.095681	26.611973	1.30579577350873	22.9105661870823
25	-99.790179	28.451877	1.16350970789681	32.8336261217752
26	-99.177385	28.454055	3.25994148098827	263.836967122913
27	-98.564565	28.453474	2.16793826904915	193.857493556498
28	-97.951807	28.450134	2.71222074625439	220.087740435964
29	-97.339196	28.444035	3.00442525751765	204.701912724111
30	-96.726819	28.435182	4.08644676821072	244.45128747598
31	-82.314739	27.428508	2.9195647957115	187.38468848266
32	-81.734429	27.355732	3.35541805548804	203.447368603648
33	-81.156332	27.280735	1.58573211139631	49.5951442904632
34	-80.580508	27.203551	1.26119990999655	33.5412714564429
35	-100.410109	28.988356	1.2029275300476	21.7999703114256
36	-99.794262	28.993405	1.96307536295548	153.160522671442
37	-99.178301	28.995633	3.81533208719645	280.859292101443
38	-98.562315	28.995039	2.66556494942779	230.676268365915
39	-97.946392	28.991623	3.397328361001	260.476518295762
40	-97.330619	28.985386	2.11559099689033	116.624947807678
41	-96.715086	28.976334	2.75818356001603	122.457468135025
42	-96.099879	28.964469	5.45869831342075	193.397551476646
43	-95.485086	28.949798	1.32350888576849	23.442334607334
44	-82.233353	27.947159	1.99367657447928	148.037849101188
45	-81.65056	27.872772	2.59311491658423	183.349320756181
46	-81.070023	27.796118	2.25122639986823	184.184466345896
47	-80.491804	27.717231	3.47373398900981	205.95005856079
53	-99.798458	29.534889	3.70329845786391	304.030742588256
54	-99.179243	29.537167	3.7976270429951	256.980167199329
55	-98.560003	29.536559	3.06851924615124	241.588541892705
56	-97.940826	29.533067	2.48619927288485	197.907478129025
57	-97.321804	29.526692	3.68079022419506	192.783171087365
58	-96.703026	29.517437	4.60710580453623	212.717903774093
59	-96.084582	29.505308	3.43514718148785	188.798231968212
60	-95.466561	29.49031	2.84917408716173	224.987034628639
61	-89.328964	29.185024	1.90944896719074	204.072630719063
62	-82.149772	28.465547	1.91541465671396	145.196579932878
63	-81.564433	28.389536	1.88525248776229	146.980538125918
64	-80.981397	28.311209	3.51539737925852	188.987346551596
65	-104.152211	29.97777	0.928869427700855	17.6732490201212
66	-103.532409	30.000617	1.19197765518723	64.8152990633273
67	-102.911941	30.020557	1.10877149206328	59.9764461073792
68	-102.290896	30.037579	1.06294632376843	32.2882364047547
72	-99.80277	30.076329	2.98344870140028	260.186036204278
73	-99.180212	30.078657	3.30436928788312	288.125957631851
74	-98.557626	30.078036	2.79565212364997	254.020446158289
75	-97.935106	30.074467	3.44082683782192	257.397620326302
76	-97.312744	30.067951	4.23034295301283	229.964877743468
77	-96.690632	30.058492	5.23885071883819	226.322397976949
78	-96.068861	30.046095	4.06268050073795	188.417731552807
79	-95.447524	30.030767	1.31850000943826	50.5253539801503
82	-93.587018	29.967283	3.25323773372482	302.328504596375
83	-92.968319	29.940325	2.62123346928826	145.338626616155
84	-92.350503	29.910491	2.20372250677146	141.143297118865
85	-91.733658	29.877797	3.44745107565989	163.76127743638
86	-91.117872	29.84226	3.44506910620555	182.494665737681
87	-90.50323	29.803898	1.15955328812986	73.6107171736789
88	-89.889818	29.76273	2.24025699056766	176.077532177895
89	-82.654185	29.058916	2.4677663999878	217.143143779542
90	-82.063952	28.983664	2.65744984708484	216.929100060657
91	-81.476005	28.906013	2.52757818928416	191.285920056606
92	-80.890407	28.826	2.25342123303562	171.438939956949
93	-104.8029	30.490716	0.98616983327702	35.1524298943722
94	-104.1805	30.517019	1.03072024970465	29.0763945647919
95	-103.557326	30.540363	1.47265142690455	97.2522218301918
96	-102.93347	30.560736	1.45240021335826	97.0202760957058
97	-102.309023	30.578129	1.4909929861175	104.72783659627
98	-101.68408	30.59253	2.98307314892786	298.776223143913
101	-99.807202	30.617723	3.59058987880064	330.58059060834
102	-99.181206	30.620102	2.57304013718412	234.57561368938
103	-98.555184	30.619467	2.96464892548214	248.973116094975
104	-97.929229	30.61582	4.05146800660745	289.09533675108
105	-97.303435	30.609163	3.77805229644389	239.404092832441
106	-96.677897	30.599498	4.59357068434947	253.350184019317
107	-96.052708	30.586831	5.75548936636106	331.010853323549
108	-95.427962	30.571169	1.25018228552744	24.337725978819
111	-93.557313	30.506303	2.29342398751199	182.528079631644
112	-92.935267	30.478759	2.59608221871925	150.907482058543
