"id"	"long"	"lat"
215	-103.636238	32.159213
216	-103.001655	32.180917
217	-102.366438	32.199446
218	-101.730687	32.21479
219	-101.094503	32.226939
220	-100.457986	32.235887
221	-99.821237	32.24163
222	-99.184358	32.244164
223	-98.547449	32.243488
224	-97.910612	32.239603
225	-97.273948	32.232509
226	-96.637559	32.222213
227	-96.001546	32.208717
228	-95.366007	32.192032
229	-94.731045	32.172164
230	-94.096758	32.149126
231	-93.463245	32.122929
232	-92.830605	32.093588
233	-92.198933	32.061119
234	-91.568328	32.025538
235	-90.938883	31.986866
236	-90.310694	31.945122
237	-89.683852	31.90033
238	-89.058451	31.852512
239	-88.43458	31.801694
240	-87.812328	31.747902
241	-87.191783	31.691165
242	-86.573031	31.631512
243	-85.956156	31.568974
244	-85.341241	31.503582
245	-84.728368	31.435371
246	-84.117614	31.364375
247	-83.509059	31.290629
248	-82.902776	31.214171
249	-82.298841	31.135038
250	-81.697325	31.053269
251	-113.094701	31.989507
252	-112.477687	32.057916
253	-111.858619	32.123434
254	-111.23758	32.186028
255	-110.614656	32.245666
256	-109.989933	32.302316
257	-109.3635	32.355948
258	-108.735448	32.406535
259	-108.105867	32.45405
260	-107.474851	32.498466
261	-106.842494	32.539761
262	-106.208891	32.577913
263	-105.574141	32.612901
264	-104.93834	32.644705
265	-104.301588	32.673309
266	-103.663984	32.698697
267	-103.02563	32.720856
268	-102.386627	32.739772
269	-101.747077	32.755436
270	-101.107082	32.76784
271	-100.466746	32.776976
272	-99.826173	32.782839
273	-99.185466	32.785426
274	-98.544729	32.784736
275	-97.904065	32.780769
276	-97.263579	32.773527
277	-96.623375	32.763015
278	-95.983555	32.749237
279	-95.344222	32.732202
280	-94.70548	32.711919
281	-94.067429	32.688399
282	-93.430172	32.661655
283	-92.793808	32.631702
284	-92.158438	32.598555
285	-91.524159	32.562232
286	-90.89107	32.522754
287	-90.259266	32.480142
288	-89.628842	32.434418
289	-88.999894	32.385606
290	-88.372512	32.333734
291	-87.746789	32.278827
292	-87.122813	32.220916
293	-86.500672	32.160029
294	-85.880453	32.0962
295	-85.262239	32.02946
296	-84.646114	31.959845
297	-84.032158	31.887389
298	-83.420451	31.812129
299	-82.811069	31.734104
300	-82.204087	31.653351
301	-81.599578	31.569912
302	-113.795909	32.441631
303	-113.177727	32.514347
304	-112.55736	32.584152
305	-111.93489	32.651009
306	-111.310403	32.714884
307	-110.683985	32.775744
308	-110.055725	32.833557
309	-109.425714	32.888291
310	-108.794044	32.939918
311	-108.160808	32.988411
312	-107.526102	33.033744
313	-106.890021	33.075891
314	-106.252665	33.11483
315	-105.614132	33.150541
316	-104.974523	33.183003
317	-104.333939	33.212199
318	-103.692481	33.238113
319	-103.050255	33.260731
320	-102.407363	33.28004
321	-101.76391	33.296029
322	-101.120002	33.30869
323	-100.475744	33.318015
324	-99.831243	33.324
325	-99.186604	33.326641
326	-98.541935	33.325937
327	-97.897341	33.321887
328	-97.252929	33.314495
329	-96.608805	33.303765
330	-95.965076	33.289701
331	-95.321847	33.272313
332	-94.679222	33.25161
333	-94.037307	33.227602
334	-93.396205	33.200304
335	-92.756019	33.169731
336	-92.11685	33.135899
337	-91.478801	33.098826
338	-90.84197	33.058533
339	-90.206457	33.015041
340	-89.572358	32.968375
341	-88.93977	32.918559
342	-88.308787	32.86562
343	-87.679502	32.809586
344	-87.052007	32.750486
345	-86.426391	32.688353
346	-85.802743	32.623218
347	-85.181148	32.555115
348	-84.561691	32.48408
